WORDLISTS,,MUNGBAM,,,,,
Return,kàmtú’ù,fʲátù,kàmtɨ̀,fʲátù,fʲɔ́lə̂,kámdzá
"Rub ",fə̀sɨ́,fə̀sɨ̀,fə̀sɨ́,fə̀sɨ́,fə̀sɨ́,fə̀sɨ́
Peel,wʉ̀nsə́,wʉ̀nsə́,wʉ̀nsə́,wʉ̀nsə́,wʉ̀nsə́,wə̌n
"Kick ",tî,tì,tǐnə́,tǐnə́,tì,tǐ
Keep,wàsá,wàdzà,wàsá,wàsá,wàsâ,wàsá
Beg,mbú’úmbú,"no response",bɔ́ŋnə́,"no response",bù’ùnə̌,ŋkàmə̀
"Swim ",sî,"no response",sînə́,"no response",sî,sî
"Hunt ",íbʲǎmnə́,bʲám,"no response","no response",kúŋ,kúŋ
"To work ",nɔ̌m,nɔ̌m,nɔ̌m,nɔ̌m,inɔ̌m,nɔ̌m
"Buy ",làtsìwá,wà’à,wà’à,wà’à,wà’à,"wà ́à"
"To imitate",fùkɔ̀mǎ,"no response","no response","no response",fàlə̀nə́,fànè
"Sell ",m̀pfwànyìyáŋ,fwǎ,fwàná,fwə̌,fwə̌,"fwà ́à"
"To announce","no response",tsidaǐná,ndwə̀lɨ́nə́,"no response",dɛ̀shě,làŋnə̀
"To light",ngúsùwû,bɨ́lə́,bílə́,bílə́,bílə́,bǐlə́
Sky,ùmwù’ùmwà,ùbwúlɔ̀,"no response",ùbwúlə̌,ùbwúlə̌,kìmbɛ̀
Sky,ùmwù’ùmwà,ùbwúlɔ̀,"no response",ùbwúlə̌,ùbwúlə̌,bìmbɛ̀
"Sun ",úwɛ̌,úwɛ̌,wɛ̀,úwɛ̌,úwɛ̌,"úwá ́á"
"Sun ",úwɛ̌,úwɛ̌,wɛ̀,úwɛ̌,úwɛ̌,"úwá ́á"
Moon,ùmùmwà̀’à,"no response",ídwánɨ́kî,"no response",mə̀mwà̀’à,ùwɛ̀
Moon,ùmùmwà̀’à,"no response",ídwánɨ́kî,"no response",mə̀mwà̀’à,uwɛ̀
star,úgbwá’á,kìfùfù,úgbwá’á,úgbwá’á,úgbwá’á,"fìmwà á"
Stars,úgbwá’á,kìfùfù,úgbwá’á,úgbwá’á,úgbwá’á,"mə̀mùmwà ́á"
Dust,ìbù,ìbù,ìbù,ìbù,ìbù,kízə́mə́
Dust,ìbù,ìbù,ìbù,ìbù,ìbù,kízə́mə́
"Yesterday ",nshíwú,"no response",tǎwú,"no response",àntǎ,àntsí
"Yesterday ",nshíwú,"no response",tǎwú,"no response",àntǎ,ànstś
